Hostname;CI;Location;Model;Status;Mac1;Mac2;Users
Benutzer ohne Login;;;;;;;"kbabab, 
adamcares, 
kbaklb, 
kbaban, 
kbakar, 
kbalat, 
kbanea, 
no user found, 
kbaanr, 
kbambt, 
kbajtt, 
kbaaog, 
no user found, 
kbasor, 
kbaabh, 
no user found, 
kbaaig, 
no user found, 
kbapcl, 
kbapol, 
kbafdi, 
kbajmi, 
kbaadi, 
kbasdj, 
no user found, 
kbatdu, 
no user found, 
kbaalo, 
kbaaen, 
kbanrn, 
kbarfa, 
kbafis, 
kbarfr, 
kbaaaf, 
kbalga, 
kbanga, 
kbanar, 
kbacgc, 
kbavgi, 
kbagon, 
kbamia, 
kbakng, 
kbashm, 
kbamhh, 
rschb, 
kbalof, 
kbalol, 
kbaaun, 
kbahuc, 
no user found, 
kbarje, 
kbaaur, 
kbakek, 
kbajli, 
kbatar, 
kbaeeg, 
no user found, 
kbaultra, 
kbaerk, 
kbarki, 
kbarng, 
kbajkc, 
kbanof, 
kbavos, 
kbaekd, 
kbatos, 
no user found, 
kbahku, 
kbaila, 
kbaalm, 
kbahle, 
kbadli, 
kbaflo, 
kbarlo, 
kbamls, 
kbawma, 
kbamhm, 
kbacme, 
kbahic, 
kbapmi, 
kbalmh, 
kbacmo, 
kbatmo, 
kbabmr, 
kbajll, 
kbaanh, 
kbatob, 
no user found, 
kbalom, 
kbaduo, 
kbadar, 
kbavpa, 
kbadrd, 
kbapri, 
kbapro, 
kbarjn, 
kbasui, 
no user found, 
kballv, 
kbajul, 
kbafch, 
no user found, 
kbarvs, 
kbamic, 
kbatna, 
kbapsi, 
kbaitg, 
kbansn, 
kbasht, 
kbazte, 
kbanei, 
kbamtm, 
kbaheb, 
kbamva, 
kbalan, 
kbajon, 
kbasvo, 
no user found, 
kbasys, "
Benutzer ohne Login;;;;;;;"kbabab, 
adamcares, 
kbaklb, 
kbaban, 
kbakar, 
kbalat, 
kbanea, 
no user found, 
kbaanr, 
kbambt, 
kbajtt, 
kbaaog, 
no user found, 
kbasor, 
kbaabh, 
no user found, 
kbaaig, 
no user found, 
kbapcl, 
kbapol, 
kbafdi, 
kbajmi, 
kbaadi, 
kbasdj, 
no user found, 
kbatdu, 
no user found, 
kbaalo, 
kbaaen, 
kbanrn, 
kbarfa, 
kbafis, 
kbarfr, 
kbaaaf, 
kbalga, 
kbanga, 
kbanar, 
kbacgc, 
kbavgi, 
kbagon, 
kbamia, 
kbakng, 
kbashm, 
kbamhh, 
rschb, 
kbalof, 
kbalol, 
kbaaun, 
kbahuc, 
no user found, 
kbarje, 
kbaaur, 
kbakek, 
kbajli, 
kbatar, 
kbaeeg, 
no user found, 
kbaultra, 
kbaerk, 
kbarki, 
kbarng, 
kbajkc, 
kbanof, 
kbavos, 
kbaekd, 
kbatos, 
no user found, 
kbahku, 
kbaila, 
kbaalm, 
kbahle, 
kbadli, 
kbaflo, 
kbarlo, 
kbamls, 
kbawma, 
kbamhm, 
kbacme, 
kbahic, 
kbapmi, 
kbalmh, 
kbacmo, 
kbatmo, 
kbabmr, 
kbajll, 
kbaanh, 
kbatob, 
no user found, 
kbalom, 
kbaduo, 
kbadar, 
kbavpa, 
kbadrd, 
kbapri, 
kbapro, 
kbarjn, 
kbasui, 
no user found, 
kballv, 
kbajul, 
kbafch, 
no user found, 
kbarvs, 
kbamic, 
kbatna, 
kbapsi, 
kbaitg, 
kbansn, 
kbasht, 
kbazte, 
kbanei, 
kbamtm, 
kbaheb, 
kbamva, 
kbalan, 
kbajon, 
kbasvo, 
no user found, 
kbasys, "
Benutzer ohne Login;;;;;;;"kbabab, 
adamcares, 
kbaklb, 
kbaban, 
kbakar, 
kbalat, 
kbanea, 
no user found, 
kbaanr, 
kbambt, 
kbajtt, 
kbaaog, 
no user found, 
kbasor, 
kbaabh, 
no user found, 
kbaaig, 
no user found, 
kbapcl, 
kbapol, 
kbafdi, 
kbajmi, 
kbaadi, 
kbasdj, 
no user found, 
kbatdu, 
no user found, 
kbaalo, 
kbaaen, 
kbanrn, 
kbarfa, 
kbafis, 
kbarfr, 
kbaaaf, 
kbalga, 
kbanga, 
kbanar, 
kbacgc, 
kbavgi, 
kbagon, 
kbamia, 
kbakng, 
kbashm, 
kbamhh, 
rschb, 
kbalof, 
kbalol, 
kbaaun, 
kbahuc, 
no user found, 
kbarje, 
kbaaur, 
kbakek, 
kbajli, 
kbatar, 
kbaeeg, 
no user found, 
kbaultra, 
kbaerk, 
kbarki, 
kbarng, 
kbajkc, 
kbanof, 
kbavos, 
kbaekd, 
kbatos, 
no user found, 
kbahku, 
kbaila, 
kbaalm, 
kbahle, 
kbadli, 
kbaflo, 
kbarlo, 
kbamls, 
kbawma, 
kbamhm, 
kbacme, 
kbahic, 
kbapmi, 
kbalmh, 
kbacmo, 
kbatmo, 
kbabmr, 
kbajll, 
kbaanh, 
kbatob, 
no user found, 
kbalom, 
kbaduo, 
kbadar, 
kbavpa, 
kbadrd, 
kbapri, 
kbapro, 
kbarjn, 
kbasui, 
no user found, 
kballv, 
kbajul, 
kbafch, 
no user found, 
kbarvs, 
kbamic, 
kbatna, 
kbapsi, 
kbaitg, 
kbansn, 
kbasht, 
kbazte, 
kbanei, 
kbamtm, 
kbaheb, 
kbamva, 
kbalan, 
kbajon, 
kbasvo, 
no user found, 
kbasys, "
KBAM00359;2018120080;A.UG2.016;Latitude 5590;Active;e4:b9:7a:37:ac:1c;b4:69:21:2c:56:82;kbaace, 01.02.2023 17:12:14
KBAM00450;2019050020;A.UG1.022;Latitude 7480 CTO i7;Active;10:65:30:84:e8:80;7c:2a:31:df:46:39;"kbambe, 15.05.2023 10:44:04
kbafhb, 25.07.2023 17:41:58
kbadra, 14.06.2023 15:06:48
kbalts, 02.05.2023 12:46:53
no user found, 30.06.2023 17:25:08"
KBAM00451;2019050021;05;Latitude 5590;Active;c8:f7:50:58:d2:8e;98:2c:bc:a8:9d:0f;"kbapbi, 05.05.2023 14:50:22
kbapcn, 21.06.2023 18:45:41
kbaace, 02.05.2023 15:49:33
kbarda, 04.05.2023 11:48:28
kbaben, 16.06.2023 12:10:16
kbavde, 26.06.2023 16:36:22
kbapbo, 12.05.2023 12:51:04
kbammn, 05.05.2023 13:17:10
kbasmb, 03.07.2023 08:37:47
kbaamu, 17.05.2023 16:48:39
kbamir, 01.06.2023 15:35:54
kbasai, 29.06.2023 16:05:24
kbatsi, 09.06.2023 13:03:25
kbatso, 26.04.2023 19:29:06
kbadov, 31.05.2023 14:49:38
kbaawe, 10.05.2023 11:32:52"
KBAM00455;2019050025;B.UG1.043;Latitude 5590;Active;c8:f7:50:58:e8:f3;98:2c:bc:a8:0e:21;"kbambd, 24.07.2023 15:43:13
kbatso, 07.06.2023 15:55:45
kbalts, 10.06.2023 15:13:24
kbawae, 25.07.2023 11:56:51"
KBAM00455;2019050025;B.UG1.043;Latitude 5590;Active;c8:f7:50:58:e8:f3;98:2c:bc:a8:0e:21;"kbambd, 24.07.2023 15:43:13
kbatso, 07.06.2023 15:55:45
kbalts, 10.06.2023 15:13:24
kbawae, 25.07.2023 11:56:51"
KBAM00455;2019050025;B.UG1.043;Latitude 5590;Active;c8:f7:50:58:e8:f3;98:2c:bc:a8:0e:21;"kbambd, 24.07.2023 15:43:13
kbatso, 07.06.2023 15:55:45
kbalts, 10.06.2023 15:13:24
kbawae, 25.07.2023 11:56:51"
KBAM00537;2021060096;A.UG2.011;Latitude 5520;Active;c0:25:a5:10:5f:6e;a4:42:3b:39:60:84;"kbambd, 06.06.2023 17:05:07
kbaace, 06.06.2023 15:20:12
kbalts, 01.06.2023 14:35:13
kbawae, 20.07.2023 15:27:19"
